	UserName	PermissionGroupName	PermissionNameDescription	ResourceName	AccessLevelName	CompanyName
0	admin@my-company.com	Admin	Add companies	Company	add	My Company
1	admin@my-company.com	admin	Add users	Users	Add	My Company
2	admin@my-company.com	Admin	Edit companies	companies	Edit	My Company
3	admin@my-company.com	Admin	Edit users	Users	Edit	My Company
4	admin@my-company.com	Admin	Delete companies	Companies	delete	My Company
5	admin@my-company.com	Admin	Delete users	Users	Delete	My Company
6	admin@my-company.com	Admin	View companies	Companies	View	My Company
7	admin@my-company.com	Admin	View Users	users	View	My Company
8	user@my-company.com	User	View companies	Companies	view	My Company
9	user@my-company.com	User	View users	User	View	My Company
